Sample	Species	Sample Identifier	Date collected	Roost	Region	Country	BFF_SFF_Population_ID	Latitude	Longitude	Weight	Age	Sex	Type	Source
1304001	SFF	1304001_SFF	08.04.2013	Pt Douglas	Wet tropics	Australia	Wet_tropics	-16.4889	145.463	851	Adult	F	Wing punch	CSIRO
1304004	SFF	1304004_SFF	08.04.2013	Pt Douglas	Wet tropics	Australia	Wet_tropics	-16.4889	145.463	730	Adult	F	Wing punch	CSIRO
1304006	SFF	1304006_SFF	08.04.2013	Pt Douglas	Wet tropics	Australia	Wet_tropics	-16.4889	145.463	880	Adult	M	Wing punch	CSIRO
1304010	SFF	1304010_SFF	16.04.2013	Pt Douglas	Wet tropics	Australia	Wet_tropics	-16.4889	145.463	830	Adult	M	Wing punch	CSIRO
1304011	SFF	1304011_SFF	17.04.2013	Pt Douglas	Wet tropics	Australia	Wet_tropics	-16.4889	145.463	790	Adult	M	Wing punch	CSIRO
1306001	GHFF	1306001_SFF	04.06.2013	Pt Douglas	Wet tropics	Australia	NA	-16.4889	145.463	707	Adult	M	Wing punch	CSIRO
1306008	LRFF	1306008_SFF	07.06.2013	Tolga	Wet tropics	Australia	NA	-17.2315	145.48	839	Adult	M	Wing punch	CSIRO
1306009	SFF	1306009_SFF	07.06.2013	Tolga	Wet tropics	Australia	Wet_tropics	-17.2315	145.48	813	Adult	F	Wing punch	CSIRO
1306011	SFF	1306011_SFF	07.06.2013	Tolga	Wet tropics	Australia	Wet_tropics	-17.2315	145.48	721	Adult	F	Wing punch	CSIRO
1306014	SFF	1306014_SFF	07.06.2013	Tolga	Wet tropics	Australia	Wet_tropics	-17.2315	145.48	910	Adult	M	Wing punch	CSIRO
1306015	BFF	1306015_BFF	07.06.2013	Tolga	Wet tropics	Australia	NQ	-17.2315	145.48	861	Adult	M	Wing punch	CSIRO
1307003	SFF	1307003_SFF	11.07.2013	Tolga	Wet tropics	Australia	Wet_tropics	-17.2315	145.48	817	Adult	M	Wing punch	CSIRO
1307004	SFF	1307004_SFF	15.07.2013	Tolga	Wet tropics	Australia	Wet_tropics	-17.2315	145.48	797	Adult	M	Wing punch	CSIRO
