Pop	Sample	Het_frac	Hom_Ref	Hom_Alt	Het	Missing	Total
BFF	M30464BFF	0.00317932	2001202	5405	6400	11702	2024709
BFF	1702012_BFF	0.00386584	1514220	2977	5888	501624	2024709
BFF	K1705308BFF	0.00388125	1868357	3896	7295	145161	2024709
BFF	1804016BFF	0.00386061	1943328	4255	7548	69578	2024709
BFF	1702008_BFF	0.00386967	1613619	3235	6281	401574	2024709
BFF	M35294BFF	0.00300259	1960653	5389	5921	52746	2024709
BFF	DG05_BFF	0.00371303	1299891	2544	4854	717420	2024709
BFF	1805001BFF	0.0040353	1818305	3669	7382	195353	2024709
BFF	1610015_BFF	0.00393595	1988461	4452	7875	23921	2024709
BFF	1804005BFF	0.00395435	1909722	4109	7598	103280	2024709
BFF	1412024_BFF	0.0038353	1903167	4074	7343	110125	2024709
BFF	K1705307BFF	0.00391119	1715697	3369	6750	298893	2024709
BFF	1610016_BFF	0.00390147	2003537	4506	7865	8801	2024709
BFF	1702024_BFF	0.00376567	1617558	3384	6127	397640	2024709
BFF	1804015BFF	0.00386432	1862244	4069	7240	151156	2024709
BFF	M35293BFF	0.00317361	1547649	3998	4940	468122	2024709
BFF	1412001_BFF	0.0038678	1996223	4388	7768	16330	2024709
BFF	M30437BFF	0.00303665	1586963	4026	4846	428874	2024709
BFF	1702013_BFF	0.0039153	2000346	4390	7880	12093	2024709
BFF	1702009_BFF	0.00391102	1992362	4391	7840	20116	2024709
BFF	1804004BFF	0.00395241	1891113	4004	7520	122072	2024709
BFF	K1705306BFF	0.00381125	1850354	3883	7094	163378	2024709
BFF	DG06_BFF	0.00367079	1211682	2383	4473	806171	2024709
BFF	1306015_BFF	0.00383328	1979212	4400	7633	33464	2024709
BFF	M30436BFF	0.00314057	1942865	5103	6137	70604	2024709
BFF	1610017_BFF	0.0038794	2004421	4560	7824	7904	2024709
BFF	1815076BFF_GHFF	0.00391609	1752199	3626	6903	261981	2024709
BFF	1804003BFF	0.00397244	1932523	4148	7724	80314	2024709
BFF	1412014_BFF	0.00391237	1831876	3788	7210	181835	2024709
BFF	1611032_BFF	0.00392006	1939680	4171	7650	73208	2024709
BFF	K17053011BFF	0.00383455	1776704	3614	6853	237538	2024709
BFF	1702026_BFF	0.00384009	1980456	4295	7651	32307	2024709
BFF	K1705305BFF	0.00387379	1811912	3788	7061	201948	2024709
BFF	1412002_BFF	0.00388112	1932492	3990	7545	80682	2024709
BFF	1702014_BFF	0.00390243	1629787	3306	6398	385218	2024709
BFF	1804014BFF	0.00387521	1803011	3798	7029	210871	2024709
BFF	M35292BFF	0.00313274	1813360	4571	5713	201065	2024709
BFF	1804002BFF	0.00389721	1659920	3227	6507	355055	2024709
BFF	K17053010BFF	0.00383361	1676464	3470	6465	338310	2024709
BFF	K1705304BFF	0.00383193	1398999	2731	5392	617587	2024709
BFF	1702031_BFF	0.00379333	1910813	4215	7292	102389	2024709
BFF	1804013BFF	0.00374862	1758578	3707	6631	255793	2024709
BFF	M35291BFF	0.003082	1971449	5246	6111	41903	2024709
BFF	1702027_BFF	0.00388831	1858715	3723	7270	155001	2024709
BFF	M35298BFF	0.00307115	1906488	5146	5889	107186	2024709
BFF	M30435BFF	0.00318657	1987319	5328	6370	25692	2024709
BFF	1702016_BFF	0.00392384	1856246	3982	7328	157153	2024709
BFF	1611011_BFF	0.00390224	1992695	4482	7824	19708	2024709
BFF	M53754BFF	0.00315066	1763285	4089	5586	251749	2024709
BFF	1804009BFF	0.00392923	1919726	4108	7589	93286	2024709
BFF	1610012_BFF	0.00395993	1987903	4465	7921	24420	2024709
BFF	1702020_BFF	0.00380886	1992279	4360	7634	20436	2024709
BFF	1702028_BFF	0.00396174	1602147	3132	6385	413045	2024709
BFF	K1705303BFF	0.00388894	1638999	3369	6412	375929	2024709
BFF	1702029_BFF	0.00492593	1939696	3616	9620	71777	2024709
BFF	1804008BFF	0.0039549	1943141	4169	7732	69667	2024709
BFF	1804011BFF	0.00383085	1871078	4060	7211	142360	2024709
BFF	1702017_BFF	0.003944	1703722	3515	6760	310712	2024709
BFF	1702005_BFF	0.00432707	1994344	3642	8683	18040	2024709
BFF	M54659BFF	0.0031116	1851066	4565	5792	163286	2024709
BFF	1611012_BFF	0.00379391	1838164	3836	7015	175694	2024709
