TPROP	MIG12	NANC	MaxObsLhood	NPOP2	MIG21	TDIV	NPOP1	ISO	MaxEstLhood	source	group	params	AIC
NA	NA	10	-191972.325	10	NA	10	10	NA	-341790769.959	./10_NAUS_NQ_m1_strict_isolation_rep40/10_NAUS_NQ_m1_strict_isolation_rep40.bestlhoods	10_NAUS_NQ_m1_strict_isolation	4	1574004671.6611
NA	0.000131429	37919	-191972.325	145403	0.000241523	40095	82403	NA	-192218.566	./10_NAUS_NQ_m2_constant_migration_rep89/10_NAUS_NQ_m2_constant_migration_rep89.bestlhoods	10_NAUS_NQ_m2_constant_migration	8	885215.209336584
0.000122239	0.000223921	39702	-191972.325	147456	0.000135108	37014	85487	5	-192221.697	./10_NAUS_NQ_m3_ancient_migration_rep98/10_NAUS_NQ_m3_ancient_migration_rep98.bestlhoods	10_NAUS_NQ_m3_ancient_migration	10	885233.628124436
0.3446017	0.000266724	38027	-191972.325	153930	0.000123889	39136	72640	13486	-192225.36	./10_NAUS_NQ_m4_recent_migration_rep89/10_NAUS_NQ_m4_recent_migration_rep89.bestlhoods	10_NAUS_NQ_m4_recent_migration	10	885250.496862828
NA	NA	10	-215518.098	10	NA	10	10	NA	-357461836.571	./11_NAUS_WETTROPICS_m1_strict_isolation_rep58/11_NAUS_WETTROPICS_m1_strict_isolation_rep58.bestlhoods	11_NAUS_WETTROPICS_m1_strict_isolation	4	1646172600.40532
NA	0.0000198849	37815	-215518.098	135285	0.0000245261	37107	135070	NA	-216166.17	./11_NAUS_WETTROPICS_m2_constant_migration_rep90/11_NAUS_WETTROPICS_m2_constant_migration_rep90.bestlhoods	11_NAUS_WETTROPICS_m2_constant_migration	8	995498.001303233
0.000577236	0.0000221428	37964	-215518.098	130240	0.0000207443	36660	138041	21	-216168.005	./11_NAUS_WETTROPICS_m3_ancient_migration_rep20/11_NAUS_WETTROPICS_m3_ancient_migration_rep20.bestlhoods	11_NAUS_WETTROPICS_m3_ancient_migration	10	995510.451790525
0.1139614	0.0000624493	40754	-215518.098	127902	0.0000476894	33946	151286	3869	-215852.77	./11_NAUS_WETTROPICS_m4_recent_migration_rep36/11_NAUS_WETTROPICS_m4_recent_migration_rep36.bestlhoods	11_NAUS_WETTROPICS_m4_recent_migration	10	994058.740966945
NA	NA	10	-196906.898	10	NA	10	10	NA	-342813919.497	./12_NQ_ECOAST_m1_strict_isolation_rep51/12_NQ_ECOAST_m1_strict_isolation_rep51.bestlhoods	12_NQ_ECOAST_m1_strict_isolation	4	1578716449.40931
NA	0.000244038	36417	-196906.898	79268	0.000145702	42773	132929	NA	-197225.35	./12_NQ_ECOAST_m2_constant_migration_rep91/12_NQ_ECOAST_m2_constant_migration_rep91.bestlhoods	12_NQ_ECOAST_m2_constant_migration	8	908272.301741067
0.000163902	0.000139239	37709	-196906.898	74216	0.000259356	42614	138558	7	-197228.989	./12_NQ_ECOAST_m3_ancient_migration_rep24/12_NQ_ECOAST_m3_ancient_migration_rep24.bestlhoods	12_NQ_ECOAST_m3_ancient_migration	10	908293.059955373
0.3742974	0.000132793	38364	-196906.898	72542	0.000267563	40862	144093	15294	-197226.089	./12_NQ_ECOAST_m4_recent_migration_rep58/12_NQ_ECOAST_m4_recent_migration_rep58.bestlhoods	12_NQ_ECOAST_m4_recent_migration	10	908279.704961834
NA	NA	10	-246991.738	10	NA	10	10	NA	-394169599.605	./13_ECOAST_WETTROPICS_m1_strict_isolation_rep47/13_ECOAST_WETTROPICS_m1_strict_isolation_rep47.bestlhoods	13_ECOAST_WETTROPICS_m1_strict_isolation	4	1815218096.32381
NA	0.0000229184	39243	-246991.738	141457	0.0000380995	36592	128374	NA	-247591.987	./13_ECOAST_WETTROPICS_m2_constant_migration_rep73/13_ECOAST_WETTROPICS_m2_constant_migration_rep73.bestlhoods	13_ECOAST_WETTROPICS_m2_constant_migration	8	1140219.23682195
0.000156819	0.0000396262	39442	-246991.738	136732	0.0000220788	37688	127187	6	-247592.327	./13_ECOAST_WETTROPICS_m3_ancient_migration_rep61/13_ECOAST_WETTROPICS_m3_ancient_migration_rep61.bestlhoods	13_ECOAST_WETTROPICS_m3_ancient_migration	10	1140224.80257981
0.21742	0.0000601437	41382	-246991.738	140434	0.0000303071	35344	123964	7685	-247412.404	./13_ECOAST_WETTROPICS_m4_recent_migration_rep97/13_ECOAST_WETTROPICS_m4_recent_migration_rep97.bestlhoods	13_ECOAST_WETTROPICS_m4_recent_migration	10	1139396.22654444
NA	NA	10	-210666.997	10	NA	10	10	NA	-344809732.6	./14_NQ_WETTROPICS_m1_strict_isolation_rep18/14_NQ_WETTROPICS_m1_strict_isolation_rep18.bestlhoods	14_NQ_WETTROPICS_m1_strict_isolation	4	1587907508.40805
